,bench mark,,,,,moving average,,,,,moving average with short sell,,,,,moving average with support price,,,,,moving average support volatility,,,,,moving average double support volatility,,,,,,Comparison of Return,,,,Comparison of Max Draw Down,,,,Comparison of Sharpe Ratio,,
ticker,bench mark return,bench mark volatility,bench mark draw_down,bench mark max_draw_down,bench mark sharpe,moving average return,moving average volatility,moving average draw_down,moving average max_draw_down,moving average sharpe,moving average with short sell return,moving average with short sell volatility,moving average with short sell draw_down,moving average with short sell max_draw_down,moving average with short sell sharpe,moving average with support price return,moving average with support price volatility,moving average with support price draw_down,moving average with support price max_draw_down,moving average with support price sharpe,moving average support volatility return,moving average support volatility volatility,moving average support volatility draw_down,moving average support volatility max_draw_down,moving average support volatility sharpe,moving average double support volatility return,moving average double support volatility volatility,moving average double support volatility draw_down,moving average double support volatility max_draw_down,moving average double support volatility sharpe,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff
LYB,-0.1477272727,0.0434738537,-0.1545454545,-0.1913043478,-0.3646214603,0,0,0,0,0,0.1518538042,0.0425078587,-0.0454545409,-0.0632229783,0.3348071597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
MLM,1.9069080374,0.314888459,-0.0340974212,-0.6374332031,0.3574693285,0.5682232115,0.2186684733,-0.0419713253,-0.4848613996,0.2103783247,-0.498971103,0.3185843784,-0.5901685249,-0.7268713693,-0.2095187453,0.1174583597,0.2036755341,-0.0474710429,-0.6596086802,0.0548081802,0.9416637992,0.1039308527,-0.1492221944,-0.1492221944,0.6598343308,0.8825383331,0.1157352657,-0.1035076393,-0.2431618743,0.5640379127,,-0.4507648518,0.8242054395,-0.0591254661,,-0.1747472806,0.5103864858,-0.0939396799,,-0.1555701445,0.6050261506,-0.0957964181
MON,4.2681226936,0.3173677047,-0.0488687783,-0.6078081468,0.5693468617,0.4844658285,0.2182957294,-0.1044850833,-0.6438928842,0.184519358,-0.7678362044,0.3222025791,-0.8348693641,-0.8902370025,-0.4215323583,5.7418126746,0.2315677163,-0.0488687783,-0.4071798876,0.9075739999,1.9018146358,0.1205394927,-0.0302430752,-0.1284028697,0.9322085857,2.2660879204,0.1862662359,-0.0302430752,-0.2366994106,0.6742778912,,5.2573468461,-3.8399980388,0.3642732846,,0.2367129966,0.2787770179,-0.1082965409,,0.7230546419,0.0246345858,-0.2579306945
MOS,5.9348224721,0.4819757157,-0.1715641671,-0.8612687185,0.4431430341,8.3897932789,0.3106473833,-0.0930232558,-0.3406916579,0.8077063582,2.6254671361,0.4646072679,-0.1238622645,-0.7432606084,0.2957381964,9.7198491627,0.3127756086,-0.012642225,-0.4996302318,0.8555229383,0,0,0,0,0,0,0,0,0,0,,1.3300558838,-9.7198491627,0,,-0.1589385739,0.4996302318,0,,0.0478165801,-0.8555229383,0
NEM,0.8605088494,0.3464151847,-0.3150209554,-0.6440005594,0.184825542,-0.2907201521,0.2272080294,-0.3973228321,-0.5517578855,-0.1485597151,-0.8703092235,0.3555285436,-0.8841371996,-0.8892495216,-0.5194610315,-0.2631565118,0.2199671667,-0.4386453959,-0.6322383441,-0.1366774914,0.4455501429,0.0900796749,-0.0164938737,-0.1152965661,0.4165318246,0.2374967834,0.1389439219,-0.0164938737,-0.2706616637,0.1549475283,,0.0275636403,0.7087066547,-0.2080533595,,-0.0804804586,0.516941778,-0.1553650976,,0.0118822237,0.553209316,-0.2615842963
NUE,3.6733027504,0.4097066804,-0.052271313,-0.683186261,0.4067218393,-0.1481251653,0.2643267683,-0.2752892238,-0.6103394147,-0.0601431229,-0.9404064629,0.4144214685,-0.953139508,-0.9579647788,-0.5927708306,0.9369196271,0.2763626263,-0.0467348216,-0.5985659969,0.2471964872,0,0,0,0,0,0,0,0,0,0,,1.0850447924,-0.9369196271,0,,0.0117734178,0.5985659969,0,,0.3073396101,-0.2471964872,0
PPG,0.6454890662,0.2387623755,-0.31347778,-0.6298399622,0.213785315,0.1016455209,0.1500309676,-0.1743899619,-0.3179478852,0.0648106085,-0.5022264527,0.2394611551,-0.5206078356,-0.540256181,-0.2812869586,0.4294547217,0.1396893359,-0.0861266432,-0.2487884164,0.2602951897,0.0854286859,0.1115101146,-0.0958951508,-0.2373098014,0.0737860238,0.0181411887,0.1554210146,-0.0489892551,-0.4023396678,0.0115734481,,0.3278092008,-0.3440260358,-0.0672874972,,0.0691594688,0.011478615,-0.1650298664,,0.1954845812,-0.1865091659,-0.0622125757
PX,1.8582217328,0.2510667331,-0.0094691144,-0.5175440536,0.4408634533,0.7224959022,0.1674179716,-0.0099106418,-0.2323843296,0.3336565128,-0.2545978559,0.2531879576,-0.3835155248,-0.550292251,-0.1143192042,1.6261499834,0.1765473581,-0.0152626338,-0.2165593861,0.5739208544,1.1464199645,0.1425593083,-0.0586496577,-0.1829972752,0.556539156,1.8902748415,0.1649673411,-0.0586496577,-0.1829972752,0.6784674574,,0.9036540812,-0.4797300189,0.743854877,,0.0158249435,0.0335621109,0,,0.2402643416,-0.0173816984,0.1219283014
SEE,-0.0363782731,0.2710221202,-0.5405847526,-0.6795396093,-0.0136421059,0.1271501499,0.1711128604,-0.2709053389,-0.3605817549,0.0703414123,-0.0679621106,0.2689939642,-0.4957455755,-0.4967032225,-0.02606258,0.0092960231,0.1604255275,-0.2150020163,-0.3193326374,0.0057681968,-0.0707273278,0.0963835239,-0.2264253005,-0.2953450629,-0.0757967509,0.0301812476,0.1517234428,-0.1666272761,-0.3893166336,0.0196193033,,-0.1178541268,-0.0800233509,0.1009085754,,0.0412491175,0.0239875745,-0.0939715707,,-0.0645732155,-0.0815649477,0.0954160542
SHW,2.2759662908,0.2505946099,-0.0106149341,-0.3856268676,0.5025449096,-0.0012371782,0.1851741142,-0.2736359009,-0.4217980019,-0.0006682212,-0.7788224757,0.2537529172,-0.821812263,-0.8259482958,-0.5517033745,0.2674495457,0.1903914927,-0.1209865872,-0.4672871508,0.1259197758,0.5153749628,0.1314465423,-0.0243739566,-0.2237866697,0.322754316,0.6906455418,0.1541257121,-0.0243739566,-0.3495379978,0.3496630916,,0.2686867239,0.2479254171,0.175270579,,-0.0454891489,0.2435004811,-0.1257513281,,0.126587997,0.1968345402,0.0269087756
VMC,0.6356467234,0.3187408468,-0.0337730871,-0.7042677592,0.1581653912,-0.0785895308,0.2252222259,-0.2889929668,-0.6386717042,-0.0361789994,-0.687909473,0.3232613495,-0.8163326604,-0.8351765157,-0.3399125007,0.3545675663,0.19986058,-0.001510574,-0.5068754498,0.1541120298,1.1462533696,0.1196313933,-0.0390587094,-0.1604433303,0.6631324827,0.8760404719,0.1274544771,-0.0390587094,-0.2139174287,0.5092873715,,0.4331570971,0.7916858033,-0.2702128977,,0.1317962544,0.3464321195,-0.0534740984,,0.1902910292,0.5090204529,-0.1538451112
WRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
ARE,0.8750419702,0.3582241716,-0.1626551021,-0.7186521285,0.1810438578,1.2095001227,0.2150400581,-0.0206095155,-0.3669015142,0.3835072493,0.1833342159,0.3565706929,-0.2756394052,-0.6208579019,0.0475901271,1.496182948,0.1852864384,-0.0254330191,-0.3456163438,0.5167712228,1.1878421248,0.1229979038,-0.0254330191,-0.2070990544,0.6618330477,1.4183185081,0.1482804834,-0.0254330191,-0.2289355768,0.6223685901,,0.2866828253,-0.3083408232,0.2304763833,,0.0212851704,0.1385172894,-0.0218365224,,0.1332639735,0.1450618249,-0.0394644576
AMT,3.3120418848,0.2874434248,-0.0691099476,-0.5653862754,0.5472100023,0.2862153174,0.1880689205,-0.2219449231,-0.3633679296,0.135479764,-0.764142042,0.2925240831,-0.7766181202,-0.7862427895,-0.4596340618,2.1765581808,0.2070825285,-0.0691099476,-0.3722508139,0.5914175663,0.7841284693,0.1246065559,-0.091152815,-0.2297140595,0.4781216298,0.8713995217,0.1388124146,-0.1174262735,-0.2892681551,0.4657172038,,1.8903428634,-1.3924297115,0.0872710524,,-0.0088828843,0.1425367544,-0.0595540956,,0.4559378023,-0.1132959365,-0.012404426
AIV,0.324535497,0.4573996955,-0.7046806751,-0.8724155397,0.0622941606,2.2123921903,0.285040078,-0.1006322401,-0.5139272662,0.4340848987,1.2145879655,0.4552889289,-0.5053221743,-0.713963628,0.1816831466,2.747389129,0.188304376,-0.0197833474,-0.2794628137,0.7496848142,0.7945370488,0.1080640513,-0.0197833474,-0.1711754436,0.5570157803,0.5646232019,0.1452014194,-0.1777136079,-0.3705601762,0.3151679559,,0.5349969387,-1.9528520802,-0.2299138469,,0.2344644525,0.1082873701,-0.1993847326,,0.3155999155,-0.1926690339,-0.2418478244
AVB,2.1513922704,0.3615145685,-0.0234375,-0.7002682017,0.3363077467,1.259039568,0.2301899627,-0.0234375,-0.3831106458,0.3687012662,-0.185852899,0.3640058109,-0.4689948679,-0.6741394146,-0.0558876323,2.7444448384,0.1796026633,-0.0234375,-0.4868898128,0.7855076985,1.9126736522,0.1210440388,-0.0234375,-0.2568046745,0.9317546736,2.0056022941,0.1344710288,-0.0234375,-0.2763702498,0.8647387419,,1.4854052704,-0.8317711862,0.0929286419,,-0.103779167,0.2300851383,-0.0195655753,,0.4168064323,0.1462469751,-0.0670159317
BXP,1.5283390437,0.3740934151,-0.0662921348,-0.7274772879,0.2597040608,1.7505735386,0.2446280915,-0.0359550562,-0.4523257161,0.4350770651,0.4055313428,0.3773495748,-0.1757032053,-0.5850421003,0.0917279503,2.1198107346,0.185040865,-0.0662921348,-0.4041441777,0.6509454734,1.6198493111,0.1177009564,-0.0662921348,-0.2101855516,0.8586149466,1.7234126605,0.1416384177,-0.0662921348,-0.3083997844,0.7436899318,,0.369237196,-0.4999614235,0.1035633494,,0.0481815384,0.1939586261,-0.0982142328,,0.2158684083,0.2076694732,-0.1149250148
CBG,1.61253406,0.6087708522,-0.6141689373,-0.9430501931,0.1655008508,1.4109236607,0.3274445907,-0.0242154763,-0.6574835363,0.2808132649,-0.8967894253,0.7029494864,-0.9355096208,-0.9726560463,-0.2889044987,3.816840222,0.2752467026,-0.0476190476,-0.3041765485,0.6182450266,0,0,0,0,0,0,0,0,0,0,,2.4059165613,-3.816840222,0,,0.3533069878,0.3041765485,0,,0.3374317617,-0.6182450266,0
CCI,2.7303370787,0.3286545595,-0.0531154239,-0.7616374269,0.427953282,-0.1339786442,0.2080570099,-0.2968528809,-0.4148600229,-0.0686155107,-0.8939155962,0.3301931033,-0.8973430203,-0.903271238,-0.6084152325,2.4753702196,0.2256376048,-0.0531154239,-0.3738506217,0.5876901784,0.8309260134,0.1355853757,-0.0225385528,-0.1825736887,0.4596585835,1.0824436536,0.1431336073,-0.0225385528,-0.2240935673,0.5315318448,,2.6093488638,-1.6444442062,0.2515176402,,0.0410094012,0.191276933,-0.0415198786,,0.6563056891,-0.1280315949,0.0718732613
DLR,4.959208254,0.3340498775,0,-0.5679788961,0.5847333826,1.7607582739,0.2306344384,-0.0228136882,-0.433728903,0.4632478755,-0.2793495504,0.3383746766,-0.3137140119,-0.7598660524,-0.0952099333,1.8802927389,0.2071452405,-0.0624139978,-0.3117970432,0.5384652035,0.9566732421,0.0992391846,-0.0624139978,-0.2046075085,0.6993204084,1.1939344364,0.1248426703,-0.0624139978,-0.2147644975,0.654461415,,0.119534465,-0.9236194968,0.2372611943,,0.1219318598,0.1071895347,-0.010156989,,0.075217328,0.1608552049,-0.0448589934
EQIX,8.684159378,0.4175789743,0,-0.6987827876,0.6101303982,1.4072219662,0.3157518748,0,-0.6112480434,0.2906810272,-0.7466280832,0.4220528745,-0.7686743108,-0.8808637909,-0.3038351065,4.8679538634,0.3348800081,0,-0.44167364,0.5777821301,0,0,0,0,0,0,0,0,0,0,,3.4607318972,-4.8679538634,0,,0.1695744034,0.44167364,0,,0.2871011029,-0.5777821301,0
EQR,1.3818939241,0.4031055112,-0.1891896877,-0.6736051866,0.2248277988,0.399084402,0.2732470793,-0.4048354951,-0.6571517858,0.1249350978,-0.6696973608,0.4109012506,-0.8232974839,-0.8786399579,-0.2550974389,1.7065755833,0.1984974929,-0.0204841713,-0.4021270791,0.527211063,0.7965144933,0.1089140553,-0.0204841713,-0.2130384544,0.5537403084,0.5680030953,0.1379789326,-0.0204841713,-0.368794316,0.3333003773,,1.3074911813,-0.91006109,-0.228511398,,0.2550247067,0.1890886247,-0.1557558616,,0.4022759652,0.0265292454,-0.2204399311
ESS,1.3832021688,0.3245028387,-0.034320323,-0.6270165269,0.2794711711,0.5417418516,0.2129189181,-0.0576690141,-0.4894221611,0.2077032314,-0.4461512918,0.3240878329,-0.626717609,-0.7542992422,-0.1769655477,1.6007058742,0.1753082232,-0.034320323,-0.4327236555,0.571866571,1.2032381155,0.1141211978,-0.034320323,-0.1794859439,0.719957097,0.7825454946,0.1434941573,-0.034320323,-0.380983169,0.4145331027,,1.0589640226,-0.3974677587,-0.4206926209,,0.0566985056,0.2532377116,-0.2014972251,,0.3641633396,0.148090526,-0.3054239943
EXR,0.7596645351,0.3477230985,-0.4605654046,-0.7126117971,0.1671322395,0.7880510211,0.2289719617,-0.1239626014,-0.3724332956,0.2612098117,-0.0944889642,0.3508986244,-0.4501852889,-0.5041141351,-0.028135066,0.7343121543,0.1839736735,-0.1003020785,-0.2991841515,0.3075543155,0.1360193969,0.0809738483,-0.0264613779,-0.1660871297,0.1584405577,0.1627305469,0.1339189989,-0.0592710422,-0.3367809153,0.1133911476,,-0.0537388668,-0.5982927574,0.02671115,,0.0732491441,0.1330970218,-0.1706937856,,0.0463445038,-0.1491137578,-0.0450494101
FRT,1.9232038024,0.3432360469,-0.005988024,-0.5745019962,0.3297580175,0.750125614,0.232587458,-0.005988024,-0.4243290042,0.2473950021,-0.4154763535,0.3456858684,-0.5099381892,-0.6799238246,-0.1511756833,1.5921090668,0.1937991937,-0.005988024,-0.4512142227,0.5154243321,1.6717659597,0.1167917746,-0.005988024,-0.2035095228,0.8838092464,1.3598974631,0.1455751995,-0.005988024,-0.2931822511,0.6156154208,,0.8419834528,0.0796568929,-0.3118684966,,-0.0268852185,0.2477046999,-0.0896727283,,0.26802933,0.3683849143,-0.2681938256
GGP,-0.2393256879,0.9730045917,-0.9828988205,-0.9947942826,-0.0277219622,1.8536094537,0.4591165756,-0.481380806,-0.7552937931,0.2406945515,-1,nan,-1,-1,nan,9.6504109458,0.3150062506,-0.0407352941,-0.3436808784,0.8468516072,0.4248152317,0.1333489052,-0.0407352941,-0.3021162244,0.2701464974,1.6574731334,0.1616409478,-0.0407352941,-0.2946039499,0.6349275065,,7.7968014921,-9.2255957141,1.2326579017,,0.4116129147,0.041564654,0.0075122745,,0.6061570557,-0.5767051098,0.3647810091
HCP,1.3274853839,0.3818774531,-0.0281627946,-0.609879429,0.2307365061,0.0818081808,0.2403937577,-0.2382341701,-0.5961965759,0.0328262142,-0.8122482839,0.3918115715,-0.8122482839,-0.8738566204,-0.3929611874,0.4642778855,0.2063127966,-0.0714875168,-0.4681334853,0.1883397402,0.3078163517,0.1056259407,-0.0281627946,-0.2974817374,0.2574006632,0.8784220096,0.1512985617,-0.0281627946,-0.3770596696,0.4299182273,,0.3824697047,-0.1564615338,0.5706056579,,0.1280630906,0.1706517479,-0.0795779322,,0.155513526,0.069060923,0.1725175641
HST,0.9061443986,0.4724703145,-0.5758231182,-0.8695656941,0.1409757845,0.9526571746,0.3263475552,-0.2826048366,-0.6447008018,0.2119837478,-0.3204621284,0.4784062937,-0.616535539,-0.69242396,-0.0791849657,1.3167158925,0.2287533482,-0.0488301119,-0.5932576064,0.3829834194,0.9219177518,0.1172391452,-0.0669103738,-0.1880771354,0.5756257397,0.9260343737,0.1405228062,-0.0669103738,-0.2795487086,0.4818734304,,0.3640587179,-0.3947981407,0.0041166219,,0.0514431954,0.405180471,-0.0914715732,,0.1709996716,0.1926423203,-0.0937523093
IRM,0.456243507,0.320963893,-0.0878396202,-0.5570835496,0.1192835168,0.2524244867,0.1747872661,-0.1803601091,-0.2728719779,0.130181914,-0.4938790328,0.3564798122,-0.7092618526,-0.7118104237,-0.1845984012,-0.241408089,0.2042738613,-0.3240505518,-0.5061276717,-0.1333513327,-0.3678986935,0.1665701186,-0.4375579938,-0.5451840245,-0.2690572057,0.1563593479,0.1993548035,-0.0610915015,-0.4741711778,0.0733757249,,-0.4938325757,-0.1264906045,0.5242580414,,-0.2332556938,-0.0390563528,0.0710128467,,-0.2635332467,-0.135705873,0.3424329306
KIM,0.1125081152,0.4476273327,-0.5492601011,-0.8565986423,0.0239360557,0.8375913364,0.2568952362,-0.0067137782,-0.3122329084,0.2441031036,-0.2622312351,0.4625491185,-0.2802916756,-0.6394341139,-0.0647344878,1.6355053064,0.1982538416,-0.0025412961,-0.3967212214,0.5130581997,1.385306264,0.1181168663,-0.0025412961,-0.182632013,0.7686066339,1.593831163,0.1426042442,-0.0025412961,-0.3033805248,0.7009738163,,0.79791397,-0.2501990424,0.208524899,,-0.084488313,0.2140892084,-0.1207485118,,0.2689550961,0.2555484342,-0.0676328176
MAC,0.8423438192,0.492499351,-0.7778706948,-0.9328277091,0.1278851211,1.7449414965,0.2812007996,-0.0231923602,-0.4639089443,0.3776852774,-0.2365411496,0.5030464589,-0.5613027444,-0.8806419311,-0.0529138727,3.7367251439,0.2102377142,-0.0231923602,-0.3608046438,0.8000929159,1.4279355564,0.127901886,-0.0231923602,-0.2232044199,0.7249192645,1.2572068997,0.1547575354,-0.0231923602,-0.4102231838,0.5478461665,,1.9917836474,-2.3087895875,-0.1707286567,,0.1031043005,0.1376002239,-0.1870187639,,0.4224076385,-0.0751736514,-0.177073098
MAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
PLD,0.3037155571,0.4822748432,-0.5545383958,-0.8468018828,0.0557063582,0.4177472472,0.2962681126,-0.0043243243,-0.5039182451,0.1198538078,-0.6351633342,0.4843832525,-0.6632449715,-0.8497527863,-0.1979369306,1.5237047313,0.1776594706,-0.0043243243,-0.2536576331,0.5457203639,0.8724184229,0.1204735683,-0.0043243243,-0.2050274003,0.5370909061,1.2165819751,0.1436434253,-0.0043243243,-0.2360490473,0.5765368956,,1.1059574841,-0.6512863084,0.3441635522,,0.250260612,0.0486302328,-0.031021647,,0.4258665561,-0.0086294578,0.0394459895
PSA,2.3396477929,0.3458575689,0,-0.5567690687,0.3703951576,0.8672618694,0.2395876435,0,-0.4333036036,0.2688444006,-0.4680086261,0.3505605646,-0.5419518775,-0.6969915882,-0.1744027932,2.1233444857,0.1980021594,0,-0.3663788535,0.6089747198,1.7120987787,0.1217279372,0,-0.2013829422,0.8615540621,1.3206493086,0.1454849252,0,-0.3926095962,0.6034520991,,1.2560826163,-0.411245707,-0.3914494701,,0.0669247501,0.1649959113,-0.191226654,,0.3401303192,0.2525793423,-0.258101963
O,1.3149646358,0.3381844686,-0.0764149184,-0.4839182478,0.2588129787,0.371723487,0.215120461,-0.161981762,-0.4009345951,0.1492119926,-0.6073595123,0.3453518951,-0.7091767511,-0.7484857839,-0.2583314848,-0.0377589419,0.2077299797,-0.4156735488,-0.5096981813,-0.0184860022,0.0136193871,0.1096901095,-0.1716295097,-0.2866411296,0.0123358564,0.5599907189,0.1528705582,-0.0764149184,-0.2033717022,0.2973294518,,-0.4094824289,0.051378329,0.5463713318,,-0.1087635862,0.2230570517,0.0832694274,,-0.1676979948,0.0308218586,0.2849935954
REG,0.4998566636,0.3843846824,-0.1862400255,-0.7330828898,0.1075821061,0.9211587677,0.2544307872,-0.0205171445,-0.3765066719,0.2650768946,0.0661924184,0.3868229564,-0.0631993814,-0.6127246884,0.0166158347,0.7421901343,0.1670059045,-0.0205171445,-0.4109044564,0.3416685885,1.1625625845,0.112703268,-0.0205171445,-0.1940677966,0.7111463747,1.0266068237,0.1455483063,-0.0205171445,-0.3895048372,0.5026545091,,-0.1789686334,0.4203724502,-0.1359557608,,-0.0343977845,0.2168366598,-0.1954370406,,0.0765916939,0.3694777862,-0.2084918656
SPG,1.854587637,0.4064622611,-0.1632562128,-0.7659985353,0.2719684325,2.4186323967,0.2601093364,-0.0022332506,-0.2686021949,0.5026461867,0.5041734385,0.4146609838,-0.3376607633,-0.4857603056,0.1004486135,0.8918532224,0.204292029,-0.0022332506,-0.6044332855,0.322111454,1.3970772203,0.1237239403,-0.0022332506,-0.214560096,0.738113244,1.8907510892,0.1460482691,-0.0022332506,-0.3037437553,0.7664814266,,-1.5267791743,0.5052239979,0.4936738689,,-0.3358310906,0.3898731895,-0.0891836593,,-0.1805347327,0.41600179,0.0283681826
SLG,1.2296098939,0.5216631073,-0.7092323638,-0.9402825164,0.1599695768,4.1031422492,0.3041967539,-0.0318286313,-0.630137136,0.5816731857,1.0374382918,0.5400887735,-0.3580210171,-0.8498426634,0.1365191747,7.5278677835,0.2051598252,-0.0464088398,-0.3645166011,1.1646050332,3.0602605722,0.12531443,-0.0464088398,-0.1661088992,1.1998044534,2.210028447,0.1443748836,-0.0464088398,-0.3531085549,0.8564433752,,3.4247255343,-4.4676072113,-0.8502321252,,0.2656205349,0.1984077019,-0.1869996557,,0.5829318475,0.0351994202,-0.3433610782
UDR,0.8805588525,0.3834230609,-0.4135337015,-0.7481574586,0.1699612321,0.68957109,0.2398706526,-0.1971951264,-0.5286941003,0.2243921975,-0.4832040012,0.3833757191,-0.6891185861,-0.7880352554,-0.1665584112,1.2577308249,0.174403194,-0.0057681606,-0.439977123,0.4862783013,0.7636753558,0.1066407858,-0.0057681606,-0.1694078559,0.5472256579,0.5217962376,0.140592165,-0.0057681606,-0.4002500103,0.3048935291,,0.5681597349,-0.4940554691,-0.2418791182,,0.0887169773,0.2705692671,-0.2308421544,,0.2618861038,0.0609473566,-0.2423321288
VTR,3.1371305563,0.3708342069,-0.0490196078,-0.6416309013,0.4112659757,2.0803279974,0.2460622723,-0.0490196078,-0.4045523625,0.4837229011,0.0610752188,0.3723615081,-0.1629309544,-0.6309165325,0.0159616328,1.7520159471,0.2124179955,-0.0490196078,-0.4966588202,0.5013231415,1.585465481,0.1387811618,-0.0565349544,-0.2374412721,0.7177249703,2.3185951567,0.1815525162,-0.0565349544,-0.3236677851,0.7016762493,,-0.3283120503,-0.1665504661,0.7331296757,,-0.0921064577,0.2592175481,-0.086226513,,0.0176002404,0.2164018288,-0.016048721
VNO,1.4892968251,0.3905464889,-0.1472135489,-0.7664270455,0.2443964206,2.3844114686,0.2428800706,0,-0.4249369423,0.5336230404,1.3746111894,0.3946469779,-0.0443065118,-0.4787393275,0.2288007749,2.4902794172,0.1863108097,0,-0.4106262788,0.7143426513,1.9738945689,0.1147094863,0,-0.1596754164,1.0034002417,1.5586604988,0.1401598099,0,-0.3498372036,0.7024965623,,0.1058679486,-0.5163848483,-0.4152340701,,0.0143106635,0.2509508624,-0.1901617872,,0.1807196109,0.2890575904,-0.3009036794
HCN,1.1198970494,0.2860386623,-0.0450274881,-0.4744494864,0.2726875357,0.9344935636,0.2016418753,-0.0595320595,-0.3012102896,0.3381343178,0.1598512293,0.2868115123,-0.2085394894,-0.4726638027,0.052067835,0.573621797,0.1703037237,-0.0450274881,-0.2420732421,0.2722341633,0.3434690525,0.1091087313,-0.0450274881,-0.2458995254,0.274529375,1.0328189955,0.1759370384,-0.0450274881,-0.2742946056,0.4176999084,,-0.3608717666,-0.2301527445,0.689349943,,0.0591370475,-0.0038262833,-0.0283950802,,-0.0659001545,0.0022952117,0.1431705334
WY,0.071348324,0.3019166071,-0.5554263669,-0.7543887442,0.0228964733,-0.2713347824,0.2068703521,-0.4459927876,-0.5376541897,-0.1505584539,-0.6935097726,0.3012958428,-0.7586937068,-0.7943605632,-0.3700358033,-0.2155929469,0.1728726797,-0.4898084414,-0.6076417501,-0.1387193729,-0.1036847863,0.1085096771,-0.2391844903,-0.3488564197,-0.1002886652,0.4018241893,0.1453736582,-0.0410463513,-0.2576555821,0.2362216387,,0.0557418355,0.1119081606,0.5055089756,,-0.0699875604,0.2587853304,0.0912008376,,0.011839081,0.0384307077,0.3365103039
MO,2.2293439869,0.186052601,-0.0679263334,-0.3785347264,0.6682139672,0.8013336975,0.1220928062,-0.0565781916,-0.3546514985,0.496295232,-0.1606072997,0.1869199835,-0.2999054753,-0.5636477756,-0.0928119867,1.5154456208,0.1305943952,-0.0679263334,-0.2983744934,0.7396413497,0.6440594305,0.1182577824,-0.1996740769,-0.2905850805,0.4308602149,1.2870424866,0.1496510311,-0.2187408523,-0.2619831076,0.5760611993,,0.7141119233,-0.8713861903,0.6429830561,,0.0562770051,0.0077894129,0.0286019729,,0.2433461177,-0.3087811348,0.1452009844
ADM,1.3169219147,0.3152285101,-0.059922179,-0.6800602007,0.2779520393,0.9813525053,0.2245207545,-0.0417312182,-0.3776934127,0.3150741044,0.0349982746,0.3152243686,-0.1119572879,-0.5820775134,0.0109271986,0.7554845689,0.2083613814,-0.0657072733,-0.4603344606,0.2777108835,0.5765950102,0.1206597881,-0.0657072733,-0.2681407787,0.3858778979,0.522214169,0.1453849282,-0.059922179,-0.3367180155,0.2950392943,,-0.2258679364,-0.1788895587,-0.0543808412,,-0.0826410479,0.1921936819,-0.0685772368,,-0.0373632209,0.1081670144,-0.0908386036
CPB,0.6998697328,0.1628523647,-0.0453808752,-0.3772714501,0.3344467369,0.1953682674,0.1153539809,-0.0483903157,-0.4221163912,0.156027112,-0.2897667683,0.1627487331,-0.4558986845,-0.5999351452,-0.2066019882,0.2291796186,0.1203791102,-0.0346924417,-0.3041992598,0.1731250688,0.2967213675,0.1113713529,-0.0039836203,-0.2461315092,0.2362705175,0.7311859444,0.1450796802,0,-0.2519712234,0.3886923584,,0.0338113512,0.0675417489,0.4344645769,,0.1179171314,0.0580677506,-0.0058397142,,0.0170979568,0.0631454487,0.1524218409
CHD,2.0046531803,0.1782549602,-0.0544329021,-0.2798387901,0.6521393125,0.6016164364,0.1254777591,-0.0884931683,-0.1637523442,0.3841994752,-0.2470055363,0.1793236821,-0.4464353525,-0.4529613129,-0.1559195723,0.7890091037,0.1437648388,-0.0544329021,-0.2727022828,0.4164194414,1.0595376837,0.1347565626,-0.0341463415,-0.2472708551,0.5557503347,2.0330724873,0.1634002624,-0.0341463415,-0.1677853285,0.7178567067,,0.1873926673,0.27052858,0.9735348036,,-0.1089499386,0.0254314277,0.0794855266,,0.0322199662,0.1393308933,0.162106372
CLX,0.7154829997,0.1582732403,-0.0449777557,-0.2935330085,0.3502146052,0.2363174877,0.1112356983,-0.0641062487,-0.2149505501,0.1926689565,-0.239441669,0.1590868902,-0.312957306,-0.3344530929,-0.1696458297,0.1959789978,0.1150421228,-0.0521025309,-0.3017182435,0.1569018919,0.3097513749,0.1046764667,-0.0055666889,-0.2437089081,0.2611857972,0.5625538882,0.1418014292,-0.0055666889,-0.2231683156,0.3217492161,,-0.0403384899,0.1137723771,0.2528025133,,-0.0867676934,0.0580093354,0.0205405925,,-0.0357670646,0.1042839053,0.0605634189
KO,0.456076269,0.1644789788,-0.0970671574,-0.4060588694,0.2326971049,0.0655962606,0.0937473815,-0.1349917807,-0.3020343451,0.0679605179,-0.3024574589,0.1663427398,-0.4311831557,-0.5033117999,-0.2125990795,0.7678261171,0.0963697153,-0.0361500744,-0.1539655575,0.6081297675,0.5308441423,0.0894652242,-0.0361500744,-0.1539655575,0.4860411625,0.1526805198,0.1309250254,-0.1140160644,-0.3541910046,0.1092585383,,0.7022298565,-0.2369819748,-0.3781636225,,0.1480687876,0,-0.2002254471,,0.5401692496,-0.122088605,-0.3767826242
